iter	Passed	Remaining
0	165	165373
1	166	83217
2	167	55764
3	168	42005
4	169	33730
5	170	28217
6	171	24281
7	172	21328
8	172	19035
9	173	17209
10	174	15730
11	175	14468
12	176	13396
13	177	12478
14	177	11681
15	178	10983
16	179	10367
17	179	9818
18	180	9329
19	181	8890
20	182	8490
21	182	8127
22	183	7797
23	184	7493
24	184	7214
25	185	6955
26	186	6716
27	187	6491
28	187	6284
29	188	6097
30	189	5920
31	190	5752
32	190	5595
33	191	5444
34	192	5301
35	192	5166
36	193	5039
37	194	4918
38	194	4802
39	195	4693
40	196	4590
41	196	4493
42	197	4399
43	198	4309
44	198	4223
45	199	4141
46	200	4061
47	200	3986
48	201	3914
49	202	3844
50	202	3776
51	203	3713
52	204	3651
53	205	3592
54	205	3537
55	206	3483
56	207	3432
57	208	3380
58	208	3330
59	209	3284
60	210	3237
61	210	3191
62	211	3147
63	212	3104
64	212	3063
65	213	3023
66	214	2984
67	214	2942
68	215	2905
69	215	2869
70	216	2835
71	217	2801
72	218	2770
73	218	2739
74	219	2707
75	220	2677
76	220	2648
77	221	2619
78	222	2591
79	223	2564
80	223	2540
81	224	2515
82	225	2490
83	226	2466
84	226	2440
85	227	2416
86	227	2390
87	228	2367
88	229	2345
89	229	2324
90	230	2302
91	231	2281
92	231	2260
93	232	2241
94	233	2223
95	234	2205
96	234	2187
97	235	2168
98	236	2150
99	237	2133
100	237	2116
101	238	2096
102	238	2079
103	239	2062
104	240	2046
105	240	2030
106	241	2016
107	242	2001
108	243	1986
109	243	1971
110	244	1957
111	245	1943
112	245	1929
113	246	1915
114	247	1901
115	247	1887
116	248	1874
117	248	1860
118	249	1847
119	250	1834
120	250	1821
121	251	1810
122	251	1795
123	252	1783
124	253	1772
125	253	1761
126	254	1750
127	255	1737
128	255	1726
129	256	1716
130	257	1705
131	257	1695
132	258	1686
133	259	1678
134	260	1669
135	261	1660
136	262	1651
137	262	1641
138	263	1633
139	264	1625
140	265	1615
141	265	1606
142	266	1597
143	267	1589
144	267	1580
145	268	1571
146	269	1563
147	270	1554
148	270	1546
149	271	1537
150	272	1529
151	272	1521
152	273	1512
153	273	1504
154	274	1496
155	275	1488
156	275	1481
157	276	1475
158	277	1468
159	278	1460
160	279	1453
161	279	1447
162	280	1440
163	281	1433
164	281	1426
165	282	1419
166	283	1412
167	283	1406
168	284	1399
169	285	1393
170	286	1387
171	287	1381
172	287	1375
173	288	1369
174	289	1364
175	290	1358
176	291	1353
177	291	1347
178	292	1341
179	293	1335
180	293	1328
181	294	1322
182	294	1316
183	295	1310
184	296	1305
185	296	1299
186	297	1293
187	298	1288
188	298	1282
189	299	1277
190	300	1271
191	300	1266
192	301	1261
193	302	1256
194	303	1251
195	303	1246
196	304	1242
197	305	1237
198	306	1232
199	306	1227
200	307	1222
201	308	1217
202	308	1212
203	309	1207
204	310	1202
205	310	1197
206	311	1192
207	312	1188
208	312	1183
209	313	1179
210	314	1174
211	314	1170
212	315	1165
213	316	1161
214	316	1156
215	317	1152
216	318	1148
217	318	1143
218	319	1139
219	320	1136
220	322	1137
221	325	1138
222	326	1136
223	326	1132
224	328	1130
225	329	1128
226	330	1125
227	331	1122
228	332	1119
229	333	1115
230	334	1113
231	335	1110
232	336	1108
233	338	1107
234	339	1104
235	340	1102
236	341	1099
237	342	1096
238	343	1094
239	344	1091
240	345	1089
241	346	1086
242	348	1084
243	349	1082
244	350	1079
245	351	1078
246	353	1077
247	354	1075
248	356	1074
249	358	1074
250	359	1073
251	360	1070
252	361	1068
253	362	1064
254	363	1061
255	364	1059
256	365	1056
257	367	1055
258	368	1053
259	369	1051
260	370	1048
261	371	1046
262	372	1043
263	373	1040
264	373	1037
265	375	1035
266	376	1032
267	377	1030
268	378	1027
269	379	1024
270	380	1022
271	381	1019
272	382	1018
273	383	1015
274	384	1013
275	385	1010
276	386	1008
277	387	1006
278	388	1004
279	389	1002
280	391	1000
281	392	1000
282	393	998
283	394	995
284	396	993
285	397	991
286	398	990
287	399	987
288	400	985
289	401	984
290	403	982
291	404	979
292	405	978
293	406	975
294	407	973
295	408	971
296	409	969
297	410	967
298	412	966
299	413	964
300	414	963
301	415	961
302	417	959
303	418	957
304	419	956
305	420	954
306	421	952
307	422	949
308	423	947
309	424	945
310	426	944
311	427	942
312	428	940
313	429	938
314	430	936
315	431	934
316	433	934
317	434	931
318	435	930
319	436	928
320	438	926
321	439	925
322	440	922
323	441	920
324	442	918
325	443	916
326	444	914
327	445	912
328	446	911
329	447	909
330	449	907
331	450	906
332	451	904
333	452	902
334	453	900
335	455	899
336	456	898
337	457	896
338	458	894
339	459	892
340	461	891
341	462	889
342	463	887
343	464	886
344	465	884
345	466	882
346	467	880
347	468	878
348	470	876
349	471	875
350	472	874
351	474	872
352	475	871
353	476	869
354	477	868
355	478	865
356	479	864
357	481	862
358	482	861
359	483	859
360	484	857
361	485	855
362	486	853
363	487	851
364	488	849
365	489	847
366	490	846
367	491	844
368	492	842
369	493	840
370	494	839
371	496	837
372	497	836
373	498	834
374	499	833
375	501	831
376	502	829
377	503	828
378	504	826
379	505	825
380	506	823
381	507	821
382	508	819
383	510	818
384	511	817
385	512	815
386	513	813
387	514	812
388	516	810
389	517	808
390	518	807
391	519	805
392	520	804
393	521	802
394	523	801
395	524	799
396	525	797
397	526	796
398	527	795
399	529	793
400	530	792
401	531	790
402	532	789
403	533	787
404	534	785
405	536	784
406	537	783
407	538	781
408	539	779
409	540	778
410	541	776
411	543	774
412	544	773
413	545	772
414	546	770
415	547	769
416	548	767
417	550	766
418	551	765
419	553	763
420	554	762
421	555	760
422	556	758
423	557	757
424	558	755
425	559	753
426	560	752
427	561	750
428	562	748
429	563	747
430	564	745
431	565	744
432	566	742
433	568	740
434	569	739
435	570	737
436	571	735
437	572	734
438	573	733
439	574	731
440	575	729
441	577	728
442	578	727
443	579	725
444	580	724
445	582	723
446	583	721
447	584	719
448	585	718
449	586	717
450	587	715
451	588	713
452	589	712
453	590	710
454	591	708
455	592	707
456	593	705
457	595	704
458	596	703
459	597	701
460	599	700
461	600	698
462	601	697
463	602	695
464	603	694
465	604	692
466	605	691
467	606	689
468	607	688
469	608	686
470	609	684
471	610	683
472	611	681
473	612	679
474	613	678
475	614	676
476	615	675
477	617	674
478	618	673
479	619	671
480	621	670
481	622	668
482	623	667
483	624	665
484	625	664
485	627	663
486	628	661
487	629	660
488	630	658
489	631	657
490	632	655
491	633	654
492	634	652
493	636	651
494	637	650
495	638	648
496	639	647
497	640	645
498	641	644
499	642	642
500	643	641
501	645	639
502	646	638
503	647	637
504	648	635
505	649	634
506	650	632
507	652	631
508	653	630
509	654	628
510	655	627
511	656	625
512	657	624
513	658	622
514	659	620
515	660	619
516	661	617
517	662	616
518	663	614
519	664	613
520	665	611
521	666	610
522	667	608
523	668	607
524	669	605
525	670	604
526	672	603
527	673	601
528	674	600
529	675	598
530	676	597
531	677	595
532	678	594
533	679	593
534	680	591
535	681	590
536	682	588
537	683	587
538	684	585
539	685	584
540	686	582
541	688	581
542	689	580
543	690	578
544	691	577
545	692	576
546	693	574
547	694	573
548	695	571
549	697	570
550	698	569
551	699	567
552	700	566
553	701	564
554	702	563
555	704	562
556	705	561
557	707	560
558	708	559
559	710	557
560	711	556
561	712	555
562	713	554
563	714	552
564	716	551
565	717	550
566	718	548
567	720	547
568	721	546
569	722	545
570	724	544
571	726	543
572	727	541
573	728	540
574	729	539
575	730	538
576	732	536
577	733	535
578	734	533
579	735	532
580	736	531
581	737	529
582	738	528
583	740	527
584	741	526
585	742	524
586	743	523
587	744	521
588	745	520
589	747	519
590	748	517
591	749	516
592	750	515
593	752	514
594	753	513
595	754	511
596	756	510
597	757	508
598	758	507
599	759	506
600	760	505
601	761	503
602	763	502
603	764	501
604	766	500
605	767	498
606	767	497
607	769	495
608	771	495
609	772	494
610	774	492
611	775	491
612	776	490
613	777	488
614	779	487
615	780	486
616	782	485
617	783	484
618	784	482
619	785	481
620	786	479
621	788	478
622	790	478
623	791	477
624	793	475
625	795	475
626	797	474
627	799	473
628	800	472
629	802	471
630	803	469
631	804	468
632	805	467
633	806	465
634	807	464
635	808	462
636	809	461
637	810	460
638	811	458
639	812	457
640	814	455
641	815	454
642	816	453
643	817	452
644	818	450
645	820	449
646	821	448
647	822	446
648	824	445
649	825	444
650	826	443
651	827	441
652	828	440
653	829	439
654	831	437
655	832	436
656	833	435
657	835	434
658	836	432
659	837	431
660	838	429
661	839	428
662	840	427
663	841	425
664	842	424
665	843	423
666	844	421
667	846	420
668	847	419
669	848	418
670	850	416
671	851	415
672	853	414
673	854	413
674	855	411
675	856	410
676	857	409
677	858	407
678	859	406
679	860	405
680	862	403
681	863	402
682	864	401
683	865	400
684	866	398
685	867	397
686	868	395
687	870	394
688	871	393
689	872	392
690	873	390
691	875	389
692	876	388
693	877	386
694	879	385
695	880	384
696	881	383
697	883	382
698	884	380
699	886	379
700	887	378
701	888	377
702	889	375
703	891	374
704	892	373
705	892	371
706	894	370
707	895	369
708	897	368
709	898	366
710	899	365
711	900	364
712	901	362
713	902	361
714	903	360
715	904	358
716	905	357
717	906	356
718	907	354
719	909	353
720	910	352
721	912	351
722	913	349
723	915	348
724	916	347
725	918	346
726	919	345
727	920	343
728	921	342
729	923	341
730	924	340
731	925	339
732	927	337
733	928	336
734	929	335
735	930	333
736	931	332
737	932	331
738	933	329
739	935	328
740	936	327
741	937	326
742	939	324
743	940	323
744	941	322
745	942	320
746	943	319
747	944	318
748	946	317
749	947	315
750	948	314
751	949	313
752	951	312
753	952	310
754	956	310
755	957	308
756	958	307
757	959	306
758	960	305
759	961	303
760	962	302
761	964	301
762	965	299
763	966	298
764	967	297
765	968	295
766	969	294
767	970	293
768	971	291
769	973	290
770	974	289
771	975	288
772	976	286
773	977	285
774	979	284
775	980	283
776	981	281
777	982	280
778	985	279
779	986	278
780	987	276
781	988	275
782	990	274
783	991	273
784	992	271
785	993	270
786	995	269
787	996	268
788	998	267
789	1000	265
790	1001	264
791	1002	263
792	1003	261
793	1004	260
794	1005	259
795	1006	258
796	1007	256
797	1009	255
798	1009	254
799	1011	252
800	1012	251
801	1013	250
802	1015	249
803	1016	247
804	1017	246
805	1019	245
806	1019	243
807	1021	242
808	1022	241
809	1023	240
810	1025	238
811	1026	237
812	1026	236
813	1028	234
814	1029	233
815	1030	232
816	1031	231
817	1032	229
818	1033	228
819	1034	227
820	1036	225
821	1037	224
822	1038	223
823	1039	222
824	1040	220
825	1041	219
826	1043	218
827	1044	216
828	1045	215
829	1046	214
830	1047	213
831	1048	211
832	1049	210
833	1050	209
834	1051	207
835	1052	206
836	1053	205
837	1054	203
838	1055	202
839	1056	201
840	1058	200
841	1059	198
842	1060	197
843	1061	196
844	1062	194
845	1062	193
846	1063	192
847	1064	190
848	1066	189
849	1067	188
850	1068	187
851	1069	185
852	1071	184
853	1072	183
854	1073	182
855	1074	180
856	1075	179
857	1076	178
858	1077	176
859	1078	175
860	1080	174
861	1081	173
862	1082	171
863	1083	170
864	1084	169
865	1085	168
866	1087	166
867	1088	165
868	1089	164
869	1090	162
870	1091	161
871	1092	160
872	1093	159
873	1095	157
874	1096	156
875	1097	155
876	1098	154
877	1099	152
878	1100	151
879	1101	150
880	1103	148
881	1104	147
882	1105	146
883	1106	145
884	1107	143
885	1108	142
886	1109	141
887	1110	140
888	1111	138
889	1112	137
890	1113	136
891	1114	134
892	1115	133
893	1116	132
894	1117	131
895	1118	129
896	1119	128
897	1121	127
898	1122	126
899	1123	124
900	1124	123
901	1125	122
902	1127	121
903	1128	119
904	1129	118
905	1130	117
906	1131	116
907	1132	114
908	1133	113
909	1135	112
910	1136	111
911	1137	109
912	1138	108
913	1139	107
914	1140	105
915	1141	104
916	1142	103
917	1144	102
918	1145	100
919	1146	99
920	1147	98
921	1148	97
922	1149	95
923	1150	94
924	1151	93
925	1152	92
926	1154	90
927	1155	89
928	1155	88
929	1156	87
930	1157	85
931	1158	84
932	1160	83
933	1161	82
934	1162	80
935	1163	79
936	1164	78
937	1165	77
938	1166	75
939	1167	74
940	1168	73
941	1170	72
942	1171	70
943	1172	69
944	1173	68
945	1174	67
946	1175	65
947	1176	64
948	1177	63
949	1179	62
950	1180	60
951	1181	59
952	1182	58
953	1183	57
954	1184	55
955	1185	54
956	1187	53
957	1188	52
958	1189	50
959	1190	49
960	1191	48
961	1192	47
962	1194	45
963	1195	44
964	1196	43
965	1197	42
966	1198	40
967	1199	39
968	1200	38
969	1202	37
970	1203	35
971	1204	34
972	1205	33
973	1206	32
974	1207	30
975	1208	29
976	1210	28
977	1211	27
978	1212	26
979	1213	24
980	1215	23
981	1216	22
982	1217	21
983	1218	19
984	1219	18
985	1220	17
986	1221	16
987	1222	14
988	1223	13
989	1224	12
990	1226	11
991	1227	9
992	1228	8
993	1229	7
994	1230	6
995	1231	4
996	1232	3
997	1234	2
998	1235	1
999	1236	0
